'Catalogue.Chunk000.code_0_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk000.code_1_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk000.code_2_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk000.code_3_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk000.code_4_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk000.code_5_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk000.code_6_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk000.code_7_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk000.code_8_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk000.code_9_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk000.code_10_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk000.code_11_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk000.code_12_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk000.code_13_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk000.code_14_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk000.code_15_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk000.code_16_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk000.code_17_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk000.code_18_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk000.code_19_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk000.code_20_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk000.code_21_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk000.code_22_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk000.code_23_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk000.code_24_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk000.code_25_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk000.code_26_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk000.code_27_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk000.code_28_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk000.code_29_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk000.code_30_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk000.code_31_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk000.code_32_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk000.code_33_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk000.code_34_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk000.code_35_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk000.code_36_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
