'Catalogue.Chunk024.code_12000_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk024.code_12001_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk024.code_12002_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk024.code_12003_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk024.code_12004_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk024.code_12005_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk024.code_12006_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk024.code_12007_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk024.code_12008_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk024.code_12009_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk024.code_12010_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk024.code_12011_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk024.code_12012_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk024.code_12013_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk024.code_12014_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk024.code_12015_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk024.code_12016_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk024.code_12017_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk024.code_12018_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk024.code_12019_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk024.code_12020_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk024.code_12021_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk024.code_12022_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk024.code_12023_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk024.code_12024_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk024.code_12025_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk024.code_12026_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk024.code_12027_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk024.code_12028_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk024.code_12029_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk024.code_12030_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk024.code_12031_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk024.code_12032_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk024.code_12033_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk024.code_12034_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk024.code_12035_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk024.code_12036_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk024.code_12037_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk024.code_12038_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk024.code_12039_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk024.code_12040_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk024.code_12041_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk024.code_12042_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk024.code_12043_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk024.code_12044_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk024.code_12045_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk024.code_12046_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk024.code_12047_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk024.code_12048_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
