'Catalogue.Chunk008.code_4000_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk008.code_4001_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk008.code_4002_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk008.code_4003_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk008.code_4004_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk008.code_4005_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk008.code_4006_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk008.code_4007_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk008.code_4008_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk008.code_4009_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk008.code_4010_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk008.code_4011_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk008.code_4012_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk008.code_4013_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk008.code_4014_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk008.code_4015_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk008.code_4016_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk008.code_4017_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk008.code_4018_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk008.code_4019_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk008.code_4020_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk008.code_4021_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk008.code_4022_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk008.code_4023_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk008.code_4024_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk008.code_4025_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
