'Catalogue.Chunk012.code_6000_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6001_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6002_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6003_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6004_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6005_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6006_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6007_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6008_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6009_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6010_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6011_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6012_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6013_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6014_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6015_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6016_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6017_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6018_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6019_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6020_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6021_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6022_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6023_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6024_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6025_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6026_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6027_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6028_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6029_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6030_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6031_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6032_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6033_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6034_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6035_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6036_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6037_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6038_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6039_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6040_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6041_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6042_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6043_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6044_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6045_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6046_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6047_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6048_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6049_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6050_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6051_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6052_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6053_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6054_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6055_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6056_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6057_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6058_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6059_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6060_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6061_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6062_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6063_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6064_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6065_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6066_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6067_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6068_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6069_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6070_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6071_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6072_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6073_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6074_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6075_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6076_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk012.code_6077_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
