'Catalogue.Chunk025.code_12500_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk025.code_12501_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk025.code_12502_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk025.code_12503_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk025.code_12504_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk025.code_12505_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk025.code_12506_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk025.code_12507_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk025.code_12508_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk025.code_12509_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk025.code_12510_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk025.code_12511_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk025.code_12512_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk025.code_12513_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk025.code_12514_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk025.code_12515_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk025.code_12516_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk025.code_12517_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk025.code_12518_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk025.code_12519_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk025.code_12520_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk025.code_12521_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
