'Catalogue.Chunk010.code_5000_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5001_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5002_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5003_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5004_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5005_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5006_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5007_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5008_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5009_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5010_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5011_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5012_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5013_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5014_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5015_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5016_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5017_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5018_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5019_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5020_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5021_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5022_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5023_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5024_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5025_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5026_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5027_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5028_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5029_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5030_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5031_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5032_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5033_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5034_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5035_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5036_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5037_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5038_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5039_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5040_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5041_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5042_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5043_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5044_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5045_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5046_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5047_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5048_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5049_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5050_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5051_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5052_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5053_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5054_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5055_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5056_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5057_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5058_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5059_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5060_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5061_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5062_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5063_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5064_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5065_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5066_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5067_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5068_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5069_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5070_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5071_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5072_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5073_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5074_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5075_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5076_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5077_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5078_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5079_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5080_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5081_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5082_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5083_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5084_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5085_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5086_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5087_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5088_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5089_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5090_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5091_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5092_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5093_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5094_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5095_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5096_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5097_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5098_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5099_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5100_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5101_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5102_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5103_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5104_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5105_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5106_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5107_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5108_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5109_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5110_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5111_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5112_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5113_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5114_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5115_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5116_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5117_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5118_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5119_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5120_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5121_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5122_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5123_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5124_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5125_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5126_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5127_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5128_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5129_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5130_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5131_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5132_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5133_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5134_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5135_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5136_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5137_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5138_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5139_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5140_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5141_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5142_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5143_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5144_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5145_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5146_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5147_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5148_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5149_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5150_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5151_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5152_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5153_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5154_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5155_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5156_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5157_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5158_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5159_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5160_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5161_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5162_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5163_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5164_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5165_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5166_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5167_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5168_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5169_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5170_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5171_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5172_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5173_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5174_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5175_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5176_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5177_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5178_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5179_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5180_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5181_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5182_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5183_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5184_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5185_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5186_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5187_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5188_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5189_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5190_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5191_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5192_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5193_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5194_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5195_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5196_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5197_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5198_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5199_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5200_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5201_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5202_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5203_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5204_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5205_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5206_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5207_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5208_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5209_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5210_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5211_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5212_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5213_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5214_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5215_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5216_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5217_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5218_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5219_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5220_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5221_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5222_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Catalogue.Chunk010.code_5223_qec' depends on axioms: [propext, Classical.choice, Quot.sound]
